 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 167898 |         1692 |  39.972 (/pb) |           [108-619], |  38.093 (/pb) |
|        |              |               |           [621-995], |               |
|        |              |               |         [1001-1010], |               |
|        |              |               |         [1013-1053], |               |
|        |              |               |         [1057-1295], |               |
|        |              |               |          [1298-1762] |               |
| 167913 |          440 |   7.894 (/pb) |   [1-126], [128-432] |   7.623 (/pb) |
| 170826 |          289 |   8.214 (/pb) | [50-122], [139-243], |   6.708 (/pb) |
|        |              |               |            [248-308] |               |
| 170842 |          350 |   8.666 (/pb) |     [1-27], [32-96], |   7.859 (/pb) |
|        |              |               |            [102-331] |               |
| 170854 |          659 |  13.692 (/pb) |  [1-336], [341-414], |  11.670 (/pb) |
|        |              |               | [420-470], [475-578] |               |
| 170876 |          520 |   9.041 (/pb) |  [1-110], [115-295], |   8.757 (/pb) |
|        |              |               | [301-516], [518-518] |               |
| 170896 |          212 |   3.402 (/pb) |              [1-212] |   3.337 (/pb) |
| 170899 |           84 |   1.284 (/pb) |               [1-84] |   1.268 (/pb) |
| 170901 |          199 |   2.774 (/pb) |   [1-153], [159-199] |   2.665 (/pb) |
| 171050 |          625 |  19.367 (/pb) |   [47-74], [80-337], |  17.678 (/pb) |
|        |              |               |           [342-369], |               |
|        |              |               |           [371-379], |               |
|        |              |               |           [384-423], |               |
|        |              |               | [427-467], [471-648] |               |
| 171091 |          147 |   3.801 (/pb) |              [1-135] |   3.358 (/pb) |
| 171098 |           32 | 806.802 (/nb) |                [1-8] |  90.908 (/nb) |
| 171102 |           34 | 847.708 (/nb) |               [1-19] | 421.358 (/nb) |
| 171106 |          303 |   7.161 (/pb) |     [1-27], [32-288] |   6.600 (/pb) |
| 171117 |           83 |   1.735 (/pb) |     [1-54], [56-78], |   1.641 (/pb) |
|        |              |               |              [80-83] |               |
| 171156 |          722 |  21.158 (/pb) | [42-106], [111-686], |  18.392 (/pb) |
|        |              |               |            [688-692] |               |
| 171178 |         1043 |  22.865 (/pb) |    [1-92], [97-205], |  22.005 (/pb) |
|        |              |               |           [210-551], |               |
|        |              |               |           [556-557], |               |
|        |              |               |           [563-787], |               |
|        |              |               |           [792-1043] |               |
| 171219 |          120 |   4.124 (/pb) |  [48-151], [153-162] |   3.874 (/pb) |
| 171274 |           78 |   3.143 (/pb) |           [128-137], |   2.001 (/pb) |
|        |              |               |  [140-143], [88-127] |               |
| 171282 |          171 |   6.418 (/pb) |     [1-12], [14-99], |   5.877 (/pb) |
|        |              |               | [104-134], [140-171] |               |
| 171315 |          178 |   6.348 (/pb) |             [53-225] |   6.069 (/pb) |
| 171369 |          125 |   4.395 (/pb) | [42-130], [136-137], |   3.754 (/pb) |
|        |              |               |            [144-161] |               |
| 171446 |          812 |  26.281 (/pb) |             [58-144] |   3.258 (/pb) |
| 171484 |          377 |  13.275 (/pb) | [61-202], [207-370], |  12.562 (/pb) |
|        |              |               |            [377-432] |               |
| 171578 |          935 |  24.112 (/pb) | [47-150], [156-174], |  22.719 (/pb) |
|        |              |               |           [179-314], |               |
|        |              |               |           [320-347], |               |
|        |              |               |           [353-480], |               |
|        |              |               |           [487-572], |               |
|        |              |               | [578-816], [821-974] |               |
| 171812 |          384 |  13.608 (/pb) |  [59-296], [301-437] |  12.999 (/pb) |
| 171876 |          570 |  20.095 (/pb) |  [1-362], [368-391], |  17.925 (/pb) |
|        |              |               |            [397-533] |               |
| 171880 |          281 |   8.130 (/pb) |             [19-202] |   5.298 (/pb) |
| 171895 |           81 |   2.166 (/pb) |              [34-34] |  17.408 (/nb) |
| 171897 |          543 |  13.247 (/pb) |   [1-23], [205-437], |   8.208 (/pb) |
|        |              |               | [442-511], [517-542] |               |
| 171921 |          116 |   4.809 (/pb) |             [51-141] |   3.683 (/pb) |
| 171926 |          264 |   9.577 (/pb) |    [1-49], [51-155], |   8.912 (/pb) |
|        |              |               | [161-172], [177-264] |               |
| 172014 |          256 |  10.601 (/pb) |    [1-64], [66-143], |   9.259 (/pb) |
|        |              |               |            [149-243] |               |
| 172024 |          161 |   6.062 (/pb) |               [1-46] |   1.681 (/pb) |
| 172033 |          749 |  23.989 (/pb) |    [1-65], [71-277], |  23.125 (/pb) |
|        |              |               |           [282-375], |               |
|        |              |               | [380-473], [478-749] |               |
| 172163 |          758 |  27.551 (/pb) |  [36-109], [115-469] |  16.592 (/pb) |
| 172208 |          145 |   6.097 (/pb) |             [61-199] |   5.701 (/pb) |
